firstLast	n
s-s	2449
c-s	2217
p-s	1749
b-s	1303
a-s	1290
d-s	1273
m-s	1244
r-s	1173
t-s	1159
s-d	1001
s-g	941
f-s	896
e-s	871
h-s	851
i-s	763
g-s	721
c-d	709
l-s	703
c-e	702
s-e	701
s-r	656
c-g	636
s-y	609
r-d	599
w-s	594
p-e	576
d-d	556
p-d	555
s-t	546
r-g	543
b-d	528
p-g	528
o-s	526
d-g	524
c-y	507
a-e	498
c-n	480
d-e	478
i-e	471
p-y	470
b-g	469
r-e	451
m-e	431
s-n	428
c-r	409
u-d	409
n-s	408
c-t	405
i-y	391
a-d	380
t-d	379
m-d	361
b-e	359
f-d	358
e-e	352
t-g	348
d-y	347
t-e	340
a-y	338
v-s	336
p-t	332
a-n	330
f-g	322
d-n	317
m-y	317
e-d	316
p-n	310
b-r	308
u-s	308
m-g	304
p-r	304
a-g	303
e-g	300
m-n	298
d-t	286
h-d	283
b-t	280
t-y	274
f-y	270
a-t	269
i-d	265
l-e	264
f-e	261
r-t	261
b-y	256
g-d	255
h-g	248
w-d	248
r-n	243
l-d	242
r-y	241
t-r	241
b-n	239
g-g	232
i-g	232
d-r	229
g-e	227
j-s	224
e-y	223
f-r	223
f-t	220
h-y	219
t-t	218
m-r	215
m-t	209
u-e	209
w-g	207
e-n	206
g-y	206
c-l	199
e-t	198
o-d	196
r-r	196
u-g	194
h-e	193
i-t	193
l-g	192
s-l	192
o-g	190
t-n	190
a-a	189
p-l	189
i-n	188
o-e	188
w-r	186
l-y	184
h-r	180
g-r	174
l-r	170
k-s	169
n-e	169
u-y	169
m-a	167
h-n	166
l-n	165
a-r	164
s-a	158
c-a	155
m-l	154
h-t	152
g-t	150
f-n	148
w-e	147
v-e	145
s-h	137
w-t	136
g-n	131
l-t	127
o-n	122
n-y	120
s-m	119
w-y	119
p-a	116
b-l	115
e-r	115
s-k	114
t-l	114
a-l	112
b-h	111
o-y	109
r-l	108
w-n	107
a-c	104
n-d	104
d-l	103
p-c	102
o-t	101
v-y	101
q-s	100
l-a	99
n-n	99
j-e	98
v-d	96
f-l	95
t-a	95
u-t	95
b-a	90
n-t	90
p-m	87
j-d	85
s-p	85
v-g	85
b-k	84
